row,col,value,unit
0,wave_1,0.033883985963653836,m/s
0,wave_2,0.48140038121346485,m/s
0,wave_3,0.4336854066275722,m/s
1,wave_1,0.05161656541949166,m/s
1,wave_2,0.6081589154837236,m/s
1,wave_3,0.6528083436333808,m/s
2,wave_1,0.03817556976546212,m/s
2,wave_2,0.4354839056467192,m/s
2,wave_3,0.4215395638213238,m/s
3,wave_1,0.03191411004724959,m/s
3,wave_2,0.5481909779187941,m/s
3,wave_3,0.5015457049799089,m/s
4,wave_1,0.04510153669242987,m/s
4,wave_2,0.9405296336822633,m/s
4,wave_3,0.4089418312480353,m/s
5,wave_1,0.04876816481797261,m/s
5,wave_2,0.8475611992612225,m/s
5,wave_3,0.5051412135281409,m/s
6,wave_1,0.04052594748051735,m/s
6,wave_2,0.6145806908005733,m/s
6,wave_3,0.5899010334809793,m/s
7,wave_1,0.04110041047431338,m/s
7,wave_2,0.7120136282579775,m/s
7,wave_3,0.4462688395690813,m/s
8,wave_1,0.06204324280082923,m/s
8,wave_2,0.4062499537520507,m/s
8,wave_3,0.5449963231627638,m/s
9,wave_1,0.028074875608987165,m/s
9,wave_2,0.6631117205081412,m/s
9,wave_3,0.6870289799419732,m/s
10,wave_1,0.03717652980739284,m/s
10,wave_2,0.9880919913726497,m/s
10,wave_3,0.38197132188491134,m/s
11,wave_1,0.02921057552331016,m/s
11,wave_2,0.9716604710179235,m/s
11,wave_3,0.400953489459974,m/s
12,wave_1,0.07294838417865855,m/s
12,wave_2,0.4703146956865868,m/s
12,wave_3,0.3923924896906037,m/s
13,wave_1,0.0392719601796248,m/s
13,wave_2,0.8411339277071775,m/s
13,wave_3,0.4712268141796765,m/s
14,wave_1,0.039863485358342346,m/s
14,wave_2,0.6609797694546892,m/s
14,wave_3,0.6949159088853283,m/s
15,wave_1,0.06667601579010972,m/s
15,wave_2,0.4086098807193371,m/s
15,wave_3,0.33916148335719754,m/s
16,wave_1,0.05425763329417748,m/s
16,wave_2,0.5931435382055393,m/s
16,wave_3,0.4872566970843842,m/s
17,wave_1,0.03044352272994952,m/s
17,wave_2,0.6711403732186891,m/s
17,wave_3,0.42796641093342735,m/s
18,wave_1,0.047171950119329877,m/s
18,wave_2,0.3067258796501125,m/s
18,wave_3,0.4249437627713855,m/s
19,wave_1,0.056628372483964746,m/s
19,wave_2,0.5646274107424921,m/s
19,wave_3,0.471411985190813,m/s
